date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:46	81742/81742	---M--	200	added ('OK')	image/jpeg	etag:%2282837ee-13f4e-57bdfce5954c8%22	https://www.yogainindia.co.in/upload/yogaphoto/files/yoga%20centre%20puti4(1).jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/upload/yogaphoto/files/yoga%20centre%20puti4(1).jpg	(from http://www.yogainindia.co.in/page/accomodationgallery/accomodation-in-puri)
18:53:47	158483/158483	---M--	200	added ('OK')	image/jpeg	etag:%22828385b-26b13-57bdb4ef56bf9%22	https://www.yogainindia.co.in/upload/yogaphoto/files/om%20yoga%20in%20puri%20odisha%20india(1).jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/upload/yogaphoto/files/om%20yoga%20in%20puri%20odisha%20india(1).jpg	(from http://www.yogainindia.co.in/page/accomodationgallery/accomodation-in-puri)
18:53:48	29524/29524	---M--	200	added ('OK')	text/css	etag:%2282a3372-7354-57b2c753c609e%22	https://www.yogainindia.co.in/assets/gallery/css/gallery.css?ver=1.3	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/gallery/css/gallery4e44.css	(from https://www.yogainindia.co.in/page/album)
18:53:48	51287/51287	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:23:44%20GMT	https://www.yogainindia.co.in/page/photogallery/gallery1	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/page/photogallery/gallery1.html	(from https://www.yogainindia.co.in/page/album)
18:53:49	193963/193963	---M--	200	added ('OK')	image/jpeg	etag:%228280d6d-2f5ab-581e5db3a1016%22	https://www.yogainindia.co.in/upload/yogaphoto/files/banner%202.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/upload/yogaphoto/files/banner%202-2.jpg	(from https://www.yogainindia.co.in/page/album)
18:53:50	175036/175036	---M--	200	added ('OK')	image/png	etag:%2282a003d-2abbc-57d76b6eee47f%22	https://www.yogainindia.co.in/admin/images/gallery/medium/20181220.png	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/admin/images/gallery/medium/20181220.png	(from https://www.yogainindia.co.in/page/album)
18:53:50	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://www.yogainindia.co.in/blogyoga/)
18:53:51	9184/9184	---M--	200	added ('OK')	text/css	etag:%2284e022b-23e0-56b0cf9eebd03%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/wp-customer-reviews/css/wp-customer-reviews-generated.css?ver=3.1.9	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/wp-customer-reviews/css/wp-customer-reviews-generated20f0.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:51	310004/310004	---M--	200	added ('OK')	image/jpeg	etag:%228283764-4baf4-57bbc201174fc%22	https://www.yogainindia.co.in/upload/yogaphoto/files/QR%20Code.jpg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/upload/yogaphoto/files/QR%20Code.jpg	(from https://www.yogainindia.co.in/contact-us)
18:53:52	25658/25658	---M--	200	added ('OK')	text/css	etag:%2284e0e2e-643a-580b09b6e460e%22	https://www.yogainindia.co.in/blogyoga/wp-includes/css/dist/block-library/style.min.css?ver=5.0.3	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-includes/css/dist/block-library/style.minaead.css	(from https://www.yogainindia.co.in/blogyoga/)
